CODGEO;indicator;category;startyear;endyear;NAISD16
01001;Naissances;Naissances domiciliées en 2016;2016;;7
01002;Naissances;Naissances domiciliées en 2016;2016;;6
01004;Naissances;Naissances domiciliées en 2016;2016;;220
01005;Naissances;Naissances domiciliées en 2016;2016;;14
01006;Naissances;Naissances domiciliées en 2016;2016;;2
01007;Naissances;Naissances domiciliées en 2016;2016;;27
01008;Naissances;Naissances domiciliées en 2016;2016;;12
01009;Naissances;Naissances domiciliées en 2016;2016;;1
01010;Naissances;Naissances domiciliées en 2016;2016;;6
01011;Naissances;Naissances domiciliées en 2016;2016;;5
01012;Naissances;Naissances domiciliées en 2016;2016;;2
01013;Naissances;Naissances domiciliées en 2016;2016;;2
01014;Naissances;Naissances domiciliées en 2016;2016;;22
01015;Naissances;Naissances domiciliées en 2016;2016;;3
01016;Naissances;Naissances domiciliées en 2016;2016;;7
01017;Naissances;Naissances domiciliées en 2016;2016;;5
01019;Naissances;Naissances domiciliées en 2016;2016;;1
01021;Naissances;Naissances domiciliées en 2016;2016;;8
01022;Naissances;Naissances domiciliées en 2016;2016;;6
01023;Naissances;Naissances domiciliées en 2016;2016;;2
01024;Naissances;Naissances domiciliées en 2016;2016;;37
01025;Naissances;Naissances domiciliées en 2016;2016;;47
01026;Naissances;Naissances domiciliées en 2016;2016;;13
01027;Naissances;Naissances domiciliées en 2016;2016;;24
01028;Naissances;Naissances domiciliées en 2016;2016;;6
01029;Naissances;Naissances domiciliées en 2016;2016;;3
01030;Naissances;Naissances domiciliées en 2016;2016;;11
01031;Naissances;Naissances domiciliées en 2016;2016;;45
01032;Naissances;Naissances domiciliées en 2016;2016;;48
01033;Naissances;Naissances domiciliées en 2016;2016;;243
01034;Naissances;Naissances domiciliées en 2016;2016;;85
01035;Naissances;Naissances domiciliées en 2016;2016;;2
01036;Naissances;Naissances domiciliées en 2016;2016;;10
01037;Naissances;Naissances domiciliées en 2016;2016;;2
01038;Naissances;Naissances domiciliées en 2016;2016;;6
01039;Naissances;Naissances domiciliées en 2016;2016;;10
01040;Naissances;Naissances domiciliées en 2016;2016;;3
01041;Naissances;Naissances domiciliées en 2016;2016;;8
