TYPECOM,COM,REG,DEP,LIBELLE
COM,1001,84,1,L'Abergement-Clémenciat
COM,1002,84,1,L'Abergement-de-Varey
COM,1004,84,1,Ambérieu-en-Bugey
COM,1005,84,1,Ambérieux-en-Dombes
COM,1006,84,1,Ambléon
COM,1007,84,1,Ambronay
COM,1008,84,1,Ambutrix
COM,1009,84,1,Andert-et-Condon
COM,1010,84,1,Anglefort
COM,1011,84,1,Apremont
COM,1012,84,1,Aranc
COM,1013,84,1,Arandas
COM,1014,84,1,Arbent
COM,1015,84,1,Arboys en Bugey
COM,1016,84,1,Arbigny
COM,1017,84,1,Argis
COM,1019,84,1,Armix
COM,1021,84,1,Ars-sur-Formans
COM,1022,84,1,Artemare
COM,1023,84,1,Asnières-sur-Saône
COM,1024,84,1,Attignat
COM,1025,84,1,Bâgé-Dommartin
COMD,1025,,,Bâgé-la-Ville
COM,1026,84,1,Bâgé-le-Châtel
COM,1027,84,1,Balan
COM,1028,84,1,Baneins
COM,1029,84,1,Beaupont
COM,1030,84,1,Beauregard
COM,1031,84,1,Bellignat
COM,1032,84,1,Béligneux
COM,1033,84,1,Valserhône
COMD,1033,,,Bellegarde-sur-Valserine
COM,1034,84,1,Belley
COM,1035,84,1,Belleydoux
COM,1036,84,1,Valromey-sur-Séran
COMD,1036,,,Belmont-Luthézieu
COM,1037,84,1,Bénonces
COM,1038,84,1,Bény
COMD,1039,,,Béon
COM,1040,84,1,Béréziat
COM,1041,84,1,Bettant
COM,1042,84,1,Bey
COM,1043,84,1,Beynost
COM,1044,84,1,Billiat
COM,1045,84,1,Birieux
COM,1046,84,1,Biziat
COM,1047,84,1,Blyes
COM,1049,84,1,La Boisse
COM,1050,84,1,Boissey
COM,1051,84,1,Bolozon
COM,1052,84,1,Bouligneux
COM,1053,84,1,Bourg-en-Bresse
COM,1054,84,1,Bourg-Saint-Christophe
COM,1056,84,1,Boyeux-Saint-Jérôme
COM,1057,84,1,Boz
COM,1058,84,1,Brégnier-Cordon
COMD,1059,,,Brénaz
COM,1060,84,1,Brénod
COM,1061,84,1,Brens
COM,1062,84,1,Bressolles
COM,1063,84,1,Brion
COM,1064,84,1,Briord
COM,1065,84,1,Buellas
COM,1066,84,1,La Burbanche
COM,1067,84,1,Ceignes
COM,1068,84,1,Cerdon
COM,1069,84,1,Certines
COM,1071,84,1,Cessy
COM,1072,84,1,Ceyzériat
COM,1073,84,1,Ceyzérieu
COM,1074,84,1,Chalamont
COM,1075,84,1,Chaleins
COM,1076,84,1,Chaley
COM,1077,84,1,Challes-la-Montagne
COM,1078,84,1,Challex
COM,1079,84,1,Champagne-en-Valromey
COM,1080,84,1,Champdor-Corcelles
COMD,1080,,,Champdor
COM,1081,84,1,Champfromier
COM,1082,84,1,Chanay
COM,1083,84,1,Chaneins
COM,1084,84,1,Chanoz-Châtenay
COM,1085,84,1,La Chapelle-du-Châtelard
COM,1087,84,1,Charix
COM,1088,84,1,Charnoz-sur-Ain
COM,1089,84,1,Château-Gaillard
COM,1090,84,1,Châtenay
COMD,1091,,,Châtillon-en-Michaille
COM,1092,84,1,Châtillon-la-Palud
COM,1093,84,1,Châtillon-sur-Chalaronne
COM,1094,84,1,Chavannes-sur-Reyssouze
COM,1095,84,1,Nivigne et Suran
COM,1096,84,1,Chaveyriat
COMD,1097,,,Chavornay
COM,1098,84,1,Chazey-Bons
COM,1099,84,1,Chazey-sur-Ain
COM,1100,84,1,Cheignieu-la-Balme
COM,1101,84,1,Chevillard
COM,1102,84,1,Chevroux
COM,1103,84,1,Chevry
COM,1104,84,1,Chézery-Forens
COM,1105,84,1,Civrieux
COM,1106,84,1,Cize
COM,1107,84,1,Cleyzieu
COM,1108,84,1,Coligny
COM,1109,84,1,Collonges
COM,1110,84,1,Colomieu
COM,1111,84,1,Conand
COM,1112,84,1,Condamine
COM,1113,84,1,Condeissiat
COM,1114,84,1,Confort
COM,1115,84,1,Confrançon
COM,1116,84,1,Contrevoz
COM,1117,84,1,Conzieu
COM,1118,84,1,Corbonod
COMD,1119,,,Corcelles
COMA,1120,,,Cordieux
COM,1121,84,1,Corlier
COMD,1122,,,Cormaranche-en-Bugey
COM,1123,84,1,Cormoranche-sur-Saône
COM,1124,84,1,Cormoz
COM,1125,84,1,Corveissiat
COM,1127,84,1,Courmangoux
COM,1128,84,1,Courtes
COM,1129,84,1,Crans
COM,1130,84,1,Bresse Vallons
COMD,1130,,,Cras-sur-Reyssouze
COM,1133,84,1,Cressin-Rochefort
COM,1134,84,1,Crottet
COM,1135,84,1,Crozet
COM,1136,84,1,Cruzilles-lès-Mépillat
COMD,1137,,,Cuisiat
COM,1138,84,1,Culoz-Béon
COMD,1138,,,Culoz
COM,1139,84,1,Curciat-Dongalon
COM,1140,84,1,Curtafond
COM,1141,84,1,Cuzieu
COM,1142,84,1,Dagneux
COM,1143,84,1,Divonne-les-Bains
COMD,1144,,,Dommartin
COM,1145,84,1,Dompierre-sur-Veyle
COM,1146,84,1,Dompierre-sur-Chalaronne
COM,1147,84,1,Domsure
COM,1148,84,1,Dortan
COM,1149,84,1,Douvres
COM,1150,84,1,Drom
COM,1151,84,1,Druillat
COM,1152,84,1,Échallon
COM,1153,84,1,Échenevex
COMD,1154,,,Étrez
COM,1155,84,1,Évosges
COM,1156,84,1,Faramans
COM,1157,84,1,Fareins
COM,1158,84,1,Farges
COM,1159,84,1,Feillens
COM,1160,84,1,Ferney-Voltaire
COM,1162,84,1,Flaxieu
COM,1163,84,1,Foissiat
COM,1165,84,1,Francheleins
COM,1166,84,1,Frans
COM,1167,84,1,Garnerans
COM,1169,84,1,Genouilleux
COM,1170,84,1,Béard-Géovreissiat
COM,1171,84,1,Géovreisset
COM,1173,84,1,Gex
COM,1174,84,1,Giron
COM,1175,84,1,Gorrevod
COM,1177,84,1,Grand-Corent
COM,1179,84,1,Grièges
COM,1180,84,1,Grilly
COM,1181,84,1,Groissiat
COMD,1182,,,Groslée
COM,1183,84,1,Guéreins
COM,1184,84,1,Hautecourt-Romanèche
COM,1185,84,1,Plateau d'Hauteville
COMD,1185,,,Hauteville-Lompnes
COMD,1186,,,Hostiaz
COM,1187,84,1,Haut Valromey
COM,1188,84,1,Illiat
COM,1189,84,1,Injoux-Génissiat
COM,1190,84,1,Innimond
COM,1191,84,1,Izenave
COM,1192,84,1,Izernore
COM,1193,84,1,Izieu
COM,1194,84,1,Jassans-Riottier
COM,1195,84,1,Jasseron
COM,1196,84,1,Jayat
COM,1197,84,1,Journans
COM,1198,84,1,Joyeux
COM,1199,84,1,Jujurieux
COM,1200,84,1,Labalme
COM,1202,84,1,Lagnieu
COM,1203,84,1,Laiz
COM,1204,84,1,Le Poizat-Lalleyriat
COMD,1204,,,Lalleyriat
COMD,1205,,,Lancrans
COM,1206,84,1,Lantenay
COM,1207,84,1,Lapeyrouse
COM,1208,84,1,Lavours
COM,1209,84,1,Léaz
COM,1210,84,1,Lélex
COM,1211,84,1,Lent
COM,1212,84,1,Lescheroux
COM,1213,84,1,Leyment
COM,1214,84,1,Leyssard
COM,1215,84,1,Surjoux-Lhopital
COMD,1215,,,Lhôpital
COM,1216,84,1,Lhuis
COMD,1218,,,Lochieu
COM,1219,84,1,Lompnas
COMD,1221,,,Lompnieu
COM,1224,84,1,Loyettes
COM,1225,84,1,Lurcy
COM,1227,84,1,Magnieu
COM,1228,84,1,Maillat
COM,1229,84,1,Malafretaz
COM,1230,84,1,Mantenay-Montlin
COM,1231,84,1,Manziat
COM,1232,84,1,Marboz
COM,1233,84,1,Marchamp
COM,1234,84,1,Marignieu
COM,1235,84,1,Marlieux
COM,1236,84,1,Marsonnas
COM,1237,84,1,Martignat
COM,1238,84,1,Massieux
COM,1239,84,1,Massignieu-de-Rives
COM,1240,84,1,Matafelon-Granges
COM,1241,84,1,Meillonnas
COM,1242,84,1,Mérignat
COM,1243,84,1,Messimy-sur-Saône
COM,1244,84,1,Meximieux
COM,1245,84,1,Bohas-Meyriat-Rignat
COM,1246,84,1,Mézériat
COM,1247,84,1,Mijoux
COM,1248,84,1,Mionnay
COM,1249,84,1,Miribel
COM,1250,84,1,Misérieux
COM,1252,84,1,Mogneneins
COM,1254,84,1,Montagnat
COM,1255,84,1,Montagnieu
COM,1257,84,1,Montanges
COM,1258,84,1,Montceaux
COM,1259,84,1,Montcet
COM,1260,84,1,Le Montellier
COM,1261,84,1,Monthieux
COM,1262,84,1,Montluel
COM,1263,84,1,Montmerle-sur-Saône
COM,1264,84,1,Montracol
COM,1265,84,1,Montréal-la-Cluse
COM,1266,84,1,Montrevel-en-Bresse
COM,1267,84,1,Nurieux-Volognat
COM,1268,84,1,Murs-et-Gélignieux
COM,1269,84,1,Nantua
COMD,1271,,,Nattages
COM,1272,84,1,Neuville-les-Dames
COM,1273,84,1,Neuville-sur-Ain
COM,1274,84,1,Les Neyrolles
COM,1275,84,1,Neyron
COM,1276,84,1,Niévroz
COM,1277,84,1,Nivollet-Montgriffon
COM,1279,84,1,Oncieu
COM,1280,84,1,Ordonnaz
COM,1281,84,1,Ornex
COM,1282,84,1,Outriaz
COM,1283,84,1,Oyonnax
COM,1284,84,1,Ozan
COM,1285,84,1,Parcieux
COM,1286,84,1,Parves et Nattages
COMD,1286,,,Parves
COM,1288,84,1,Péron
COM,1289,84,1,Péronnas
COM,1290,84,1,Pérouges
COM,1291,84,1,Perrex
COM,1293,84,1,Peyriat
COM,1294,84,1,Peyrieu
COM,1295,84,1,Peyzieux-sur-Saône
COM,1296,84,1,Pirajoux
COM,1297,84,1,Pizay
COM,1298,84,1,Plagne
COM,1299,84,1,Le Plantay
COMD,1300,,,Le Poizat
COM,1301,84,1,Polliat
COM,1302,84,1,Pollieu
COM,1303,84,1,Poncin
COM,1304,84,1,Pont-d'Ain
COM,1305,84,1,Pont-de-Vaux
COM,1306,84,1,Pont-de-Veyle
COM,1307,84,1,Port
COM,1308,84,1,Pougny
COM,1309,84,1,Pouillat
COM,1310,84,1,Prémeyzel
COM,1311,84,1,Prémillieu
COMD,1312,,,Pressiat
COM,1313,84,1,Prévessin-Moëns
COM,1314,84,1,Priay
COM,1317,84,1,Ramasse
COM,1318,84,1,Rancé
COM,1319,84,1,Relevant
COM,1320,84,1,Replonges
COM,1321,84,1,Revonnas
COM,1322,84,1,Reyrieux
COM,1323,84,1,Reyssouze
COMA,1324,,,Rignat
COM,1325,84,1,Rignieux-le-Franc
COM,1328,84,1,Romans
COM,1329,84,1,Rossillon
COM,1330,84,1,Ruffieu
COM,1331,84,1,Saint-Alban
COM,1332,84,1,Saint-André-de-Bâgé
COM,1333,84,1,Saint-André-de-Corcy
COM,1334,84,1,Saint-André-d'Huiriat
COM,1335,84,1,Saint-André-le-Bouchoux
COM,1336,84,1,Saint-André-sur-Vieux-Jonc
COM,1337,84,1,Saint-Bénigne
COM,1338,84,1,Groslée-Saint-Benoit
COMD,1338,,,Saint-Benoît
COM,1339,84,1,Saint-Bernard
COMD,1340,,,Saint-Bois
COM,1342,84,1,Sainte-Croix
COM,1343,84,1,Saint-Cyr-sur-Menthon
COM,1344,84,1,Saint-Denis-lès-Bourg
COM,1345,84,1,Saint-Denis-en-Bugey
COM,1346,84,1,Saint-Didier-d'Aussiat
COM,1347,84,1,Saint-Didier-de-Formans
COM,1348,84,1,Saint-Didier-sur-Chalaronne
COM,1349,84,1,Saint-Éloi
COM,1350,84,1,Saint-Étienne-du-Bois
COM,1351,84,1,Saint-Étienne-sur-Chalaronne
COM,1352,84,1,Saint-Étienne-sur-Reyssouze
COM,1353,84,1,Sainte-Euphémie
COM,1354,84,1,Saint-Genis-Pouilly
COM,1355,84,1,Saint-Genis-sur-Menthon
COM,1356,84,1,Saint-Georges-sur-Renon
COM,1357,84,1,Saint-Germain-de-Joux
COM,1358,84,1,Saint-Germain-les-Paroisses
COM,1359,84,1,Saint-Germain-sur-Renon
COM,1360,84,1,Saint-Jean-de-Gonville
COM,1361,84,1,Saint-Jean-de-Niost
COM,1362,84,1,Saint-Jean-de-Thurigneux
COM,1363,84,1,Saint-Jean-le-Vieux
COM,1364,84,1,Saint-Jean-sur-Reyssouze
COM,1365,84,1,Saint-Jean-sur-Veyle
COM,1366,84,1,Sainte-Julie
COM,1367,84,1,Saint-Julien-sur-Reyssouze
COM,1368,84,1,Saint-Julien-sur-Veyle
COM,1369,84,1,Saint-Just
COM,1370,84,1,Saint-Laurent-sur-Saône
COM,1371,84,1,Saint-Marcel
COM,1372,84,1,Saint-Martin-de-Bavel
COM,1373,84,1,Saint-Martin-du-Frêne
COM,1374,84,1,Saint-Martin-du-Mont
COM,1375,84,1,Saint-Martin-le-Châtel
COM,1376,84,1,Saint-Maurice-de-Beynost
COM,1378,84,1,Saint-Maurice-de-Gourdans
COM,1379,84,1,Saint-Maurice-de-Rémens
COM,1380,84,1,Saint-Nizier-le-Bouchoux
COM,1381,84,1,Saint-Nizier-le-Désert
COM,1382,84,1,Sainte-Olive
COM,1383,84,1,Saint-Paul-de-Varax
COM,1384,84,1,Saint-Rambert-en-Bugey
